Food_items,calories,total_fat,sodium,vitamin_d,calcium,iron,potassium,protein,carbohydrate,fiber,water,sugars,VegNovVeg,Breakfast,Lunch,Dinner,Vegan
"Yardlong bean, raw",47,0.4,4,0,50,0.47,240,2.8,8.35,0,87.85,0,0,1,0,0,1
"Lambsquarters, raw",43,0.8,43,0,309,1.2,452,4.2,7.3,4,84.3,0,1,1,0,0,0
"Gravy, dry, turkey",367,7.2,4392,0,146,3.29,428,10.42,65.12,0,4.67,0,1,0,0,1,0
Vital wheat gluten,370,1.9,29,0,142,5.2,100,75.16,13.79,0.6,8.2,0,0,0,0,1,1
"Turnip greens, raw",32,0.3,40,0,190,1.1,296,1.5,7.13,3.2,89.67,0.81,0,1,0,0,1
"Frankfurter, pork",269,24,816,0,267,3.7,264,12.81,0.28,0.1,59.85,0,1,0,0,1,0
"Pomegranates, raw",83,1.2,3,0,10,0.3,236,1.67,18.7,4,77.93,13.67,0,1,0,0,1
"Cookies, molasses",430,13,459,0,74,6.43,346,5.6,73.8,1,5.8,17.6,0,0,0,1,1
"Cookies, fig bars",348,7.3,350,0,64,2.9,207,3.7,70.9,4.6,16.5,46.36,0,0,0,1,1
Liverwurst spread,305,25,700,0,22,8.85,170,12.38,5.89,2.5,53.53,1.65,1,0,0,1,0
Roast beef spread,223,16,724,0,23,2.06,259,15.27,3.73,0.2,61.7,0.71,1,0,1,1,0
"Goose, raw, liver",133,4.3,140,0,43,30.53,230,16.37,6.32,0,71.78,0,1,1,1,0,0
"TACO BELL, Nachos",350,22,313,0,63,0.75,362,4.32,34.91,3.2,37.4,2.17,0,0,0,1,1
"Sausage, meatless",255,18,888,0,63,3.72,231,20.28,8.09,2.8,50.4,0,1,1,0,1,0
"Frankfurter, meat",290,26,1090,0,99,1.09,152,10.26,4.17,0,56.31,0,1,0,0,1,0
"Rice flour, brown",363,2.8,8,0,11,1.98,289,7.23,76.48,4.6,11.97,0.66,0,0,1,1,1
"Peppermint, fresh",70,0.9,31,0,243,5.08,569,3.75,14.89,8,78.65,0,0,1,0,0,1
"Luxury loaf, pork",141,4.8,1225,28,36,1.05,377,18.4,4.9,0,68.2,0,1,1,1,0,0
"Rye flour, medium",349,1.5,2,0,24,2.54,374,10.88,75.43,11.8,10.97,1.1,0,0,0,1,1
"DENNY'S, coleslaw",183,15,376,0,32,0.34,141,0.97,10.88,1.3,71.77,8.16,0,0,1,1,1
"Bread, wheat bran",248,3.4,486,0,74,3.07,227,8.8,47.8,4,37.8,9.68,0,0,1,1,1
"Croissants, apple",254,8.7,274,0,30,1.1,90,7.4,37.1,2.5,45.6,0,0,0,0,1,1
Barley malt flour,361,1.8,11,0,37,4.71,224,10.28,78.3,7.1,8.21,0.8,0,0,0,1,1
"Rice noodles, dry",364,0.6,182,0,18,0.7,30,5.95,80.18,1.6,11.91,0.12,0,0,1,1,1
"Fish oil, sardine",902,100,0,332,0,0,0,0,0,0,0,0,1,0,0,1,0
"Fish oil, herring",902,100,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Plantains, cooked",116,0.2,5,0,2,0.58,465,0.79,31.15,2.3,67.3,14,0,1,1,0,1
"Ostrich, raw, fan",117,2.7,75,0,6,4.38,308,21.81,0,0,75.93,0,0,1,1,0,1
"Gravy, dry, brown",367,9.6,4843,0,132,1.72,262,10.74,59.38,2,5,0,0,0,0,1,1
"Cheese, provolone",351,27,876,20,756,0.52,138,25.58,2.14,0,40.95,0.56,0,0,0,1,1
"Cheese, roquefort",369,31,1809,0,662,0.56,91,21.54,2,0,39.38,0,0,0,0,1,1
"Muffins, oat bran",270,7.4,393,0,63,4.2,507,7,48.3,4.6,35,8.22,0,1,0,1,1
"Raisins, seedless",299,0.5,11,0,50,1.88,749,3.07,79.18,3.7,15.43,59.19,0,0,0,1,1
"Fish, raw, burbot",90,0.8,97,0,50,0.9,404,19.31,0,0,79.26,0,1,1,0,0,0
"Wheat germ, crude",360,9.7,12,0,39,6.26,892,23.15,51.8,13.2,11.12,0,0,0,0,1,1
"Wheat, hard white",342,1.7,2,0,32,4.56,432,11.31,75.9,12.2,9.57,0.41,0,0,0,1,1
"Wheat bran, crude",216,4.3,2,0,73,10.57,1182,15.55,64.51,42.8,9.89,0.41,0,0,1,1,1
"Spices, dill seed",305,15,20,0,1516,16.33,1186,15.98,55.17,21.1,7.7,0,0,0,0,1,1
"Oil, cocoa butter",884,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"APPLEBEE'S, chili",157,9.8,381,0,34,1.46,320,12.56,4.57,1.4,71.31,2.27,0,0,1,1,1
"Grape leaves, raw",93,2.1,9,0,363,2.63,272,5.6,17.31,11,73.32,6.3,0,1,0,0,1
"Kale, raw, scotch",42,0.6,70,0,205,3,450,2.8,8.32,1.7,87,0,0,1,0,0,1
"Whey, dried, acid",339,0.5,968,0,2054,1.24,2289,11.73,73.45,0,3.51,73.45,0,0,0,1,1
"Whey, fluid, acid",24,0.1,48,0,103,0.08,143,0.76,5.12,0,93.42,5.12,0,1,0,0,1
"Eggplant, pickled",49,0.7,1674,0,25,0.77,12,0.9,9.77,2.5,86.9,4.8,1,1,0,0,0
"Babyfood, cookies",433,13,300,0,101,4.18,501,11.8,67.1,0.2,5.9,24.2,0,0,0,1,1
"Fennel, raw, bulb",31,0.2,52,0,49,0.73,414,1.24,7.3,3.1,90.21,3.93,0,1,0,0,1
"Egg, dried, whole",592,44,476,331,244,7.2,540,48.05,1.13,0,2.78,0.56,1,0,0,1,0
"Coffeecake, fruit",311,10,385,0,45,2.43,90,5.2,51.5,2.5,31.7,0,0,1,0,1,1
"Candies, caramels",382,8.1,245,0,138,0.14,214,4.6,77,0,8.5,65.5,0,0,0,1,1
"Sour cream, light",136,11,83,8,141,0.07,212,3.5,7.1,0,78.1,0.22,0,1,1,0,1
"Chicken, meatless",224,13,709,0,35,3.27,54,23.64,3.64,3.6,58.84,0,1,0,1,1,0
"Corn grain, white",365,4.7,35,0,7,2.71,287,9.42,74.26,0,10.37,0,0,0,0,1,1
"Veal, raw, ground",197,13,103,51,12,1.37,198,18.58,0,0,66.16,0,0,0,1,1,1
"Wheat, soft white",340,2,2,0,34,5.37,435,10.69,75.36,12.7,10.42,0.41,0,0,0,1,1
"Nuts, raw, acorns",387,24,0,0,41,0.79,539,6.15,40.75,0,27.9,0,0,1,0,1,1
"POPEYES, Coleslaw",161,11,218,0,31,0.23,118,0.98,14.12,1.7,72.84,10.83,0,0,1,1,1
"Cheese, limburger",327,27,800,20,497,0.13,128,20.05,0.49,0,48.42,0.49,0,0,1,1,1
"Corn bran, crude",224,0.9,7,0,42,2.79,44,8.36,85.64,79,4.71,0,0,0,1,1,1
"Bread, rice bran",243,4.6,269,0,69,3.61,215,8.9,43.5,4.9,41,4.67,0,0,1,1,1
"Emu, raw, ground",134,4,56,0,7,4.02,320,22.77,0,0,72.87,0,0,1,1,0,1
"Cookies, fortune",378,2.7,31,0,12,1.44,41,4.2,84,1.6,8,45.42,0,0,0,1,1
"Fish, raw, cisco",98,1.9,55,0,12,0.4,354,18.99,0,0,78.93,0,1,1,0,0,0
"Dill weed, fresh",43,1.1,61,0,208,6.59,738,3.46,7.02,2.1,85.95,0,0,1,0,0,1
"Spearmint, dried",285,6,344,0,1488,87.47,1924,19.93,52.04,29.8,11.3,0,0,0,0,1,1
"Spearmint, fresh",44,0.7,30,0,199,11.87,458,3.29,8.41,6.8,85.55,0,0,1,0,0,1
Tamales (Navajo),153,6.1,427,0,29,1.22,131,6.28,18.12,3.1,68.1,0.99,0,0,1,1,1
"Rice bran, crude",316,21,5,0,57,18.54,1485,13.35,49.69,21,6.13,0.9,0,0,1,1,1
"Rye flour, light",357,1.3,2,0,13,0.91,224,9.82,76.68,8,11.4,0.93,0,0,0,1,1
"Spices, bay leaf",313,8.4,23,0,834,43,529,7.61,74.97,26.3,5.44,0,0,0,0,1,1
"Spices, cardamom",311,6.7,18,0,383,13.97,1119,10.76,68.47,28,8.28,0,0,0,0,1,1
"Ginger root, raw",80,0.8,13,0,16,0.6,415,1.82,17.77,2,78.89,1.7,0,1,0,0,1
"Fish oil, salmon",902,100,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Fish, tuna salad",187,9.3,402,0,17,1,178,16.04,9.41,0,63.16,0,1,0,1,1,0
"Cheese, muenster",368,30,628,22,717,0.41,134,23.41,1.12,0,41.77,1.12,0,0,0,1,1
"Cheese, cheshire",387,31,700,0,643,0.21,95,23.37,4.78,0,37.65,0,0,0,0,1,1
"Bagels, oat bran",255,1.2,590,0,12,3.08,115,10.7,53.3,3.6,32.9,1.63,0,1,0,1,1
"Fat, beef tallow",902,100,0,28,0,0,0,0,0,0,0,0,1,0,0,1,0
"Peas, raw, green",81,0.4,5,0,25,1.47,244,5.42,14.45,5.7,78.86,5.67,0,1,0,0,1
"Oat bran, cooked",40,0.9,1,0,10,0.88,92,3.21,11.44,2.6,84,0,0,1,0,0,1
"Headcheese, pork",157,11,941,37,16,1.5,31,13.83,0,0,73.84,0,1,0,1,1,0
Ham salad spread,216,16,1075,26,8,0.59,150,8.68,10.64,0,62.6,0,1,0,1,1,0
"Olive loaf, pork",235,17,964,44,109,0.54,297,11.8,9.2,0,58.2,0,1,0,1,1,0
"Pastrami, turkey",139,6.2,1123,10,11,4.2,345,16.3,3.34,0.1,71.73,3.34,1,1,1,0,0
"POPEYES, biscuit",401,24,745,0,108,2.51,173,6,40.95,3.8,26.52,3.46,0,0,0,1,1
"Egg, dried, yolk",669,59,149,417,289,9.56,264,33.63,0.66,0,3.08,0.23,1,0,0,1,0
"Quinoa, uncooked",368,6.1,5,0,47,4.57,563,14.12,64.16,7,13.28,0,0,0,0,1,1
"Emu, raw, oyster",141,4.9,150,0,4,5.5,250,22.81,0,0,72.57,0,0,1,1,0,1
"Cheese, monterey",373,30,600,22,746,0.72,81,24.48,0.68,0,41.01,0.5,0,0,0,1,1
"Fish, raw, scup",105,2.7,42,47,40,0.53,287,18.88,0,0,75.37,0,1,1,1,0,0
"Cheese, cheddar",404,33,653,24,710,0.14,76,22.87,3.09,0,37.02,0.48,0,0,0,1,1
"Cheese, caraway",376,29,690,0,673,0.64,93,25.18,3.06,0,39.28,0,0,0,0,1,1
"Oil, wheat germ",884,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Bread, oat bran",236,4.4,353,0,65,3.12,147,10.4,39.8,4.5,44,7.7,0,0,1,1,1
Potato pancakes,268,15,764,11,32,1.67,622,6.08,27.81,3.3,47.77,1.79,0,1,0,1,1
Spinach souffle,172,13,566,31,165,1.19,231,7.89,5.9,0.7,70.73,1.85,0,0,1,1,1
"Bacon, meatless",309,30,1465,0,23,2.41,170,11.69,5.31,2.6,48.98,0,1,1,0,1,0
"Rosemary, fresh",131,5.9,26,0,317,6.65,668,3.31,20.7,14.1,67.77,0,0,1,1,0,1
"Rye flour, dark",325,2.2,2,0,37,4.97,717,15.91,68.63,23.8,10.75,2.31,0,0,0,1,1
"Oil, tomatoseed",884,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Croutons, plain",407,6.6,698,0,76,4.08,124,11.9,73.5,5.1,5.5,0,0,0,0,1,1
"Spices, paprika",282,13,68,0,229,21.14,2280,14.14,53.99,34.9,11.24,10.34,0,0,0,1,1
"Fish, raw, spot",123,4.9,29,0,14,0.32,496,18.51,0,0,75.95,0,1,1,1,0,0
"Tomatillos, raw",32,1,1,0,7,0.62,268,0.96,5.84,1.9,91.63,3.93,0,1,0,0,1
"Raisins, seeded",296,0.5,28,0,28,2.59,825,2.52,78.47,6.8,16.57,0,0,0,0,1,1
"Bologna, turkey",209,16,1071,26,123,3,135,11.42,4.68,0.5,64.55,2.9,1,0,1,1,0
"Fish, raw, carp",127,5.6,49,988,41,1.24,333,17.83,0,0,76.31,0,1,1,1,0,0
"Wheat, sprouted",198,1.3,16,0,28,2.14,169,7.49,42.53,1.1,47.75,0,0,0,1,1,1
"Fish, raw, cusk",87,0.7,31,0,10,0.83,392,18.99,0,0,76.35,0,1,1,0,0,0
"Fish, raw, ling",87,0.6,135,0,34,0.65,379,18.99,0,0,79.63,0,1,1,0,0,0
"Spices, saffron",310,5.9,148,0,111,11.1,1724,11.43,65.37,3.9,11.9,0,0,0,0,1,1
"Spelt, uncooked",338,2.4,8,0,27,4.44,388,14.57,70.19,10.7,11.02,6.82,0,0,0,1,1
"Cabbage, kimchi",15,0.5,498,0,33,2.5,151,1.1,2.4,1.6,94.3,1.06,0,1,0,0,1
"Seeds, flaxseed",534,42,30,0,255,5.73,813,18.29,28.88,27.3,6.96,1.55,0,0,0,1,1
"Cheese, gruyere",413,32,714,24,1011,0.17,81,29.81,0.36,0,33.19,0.36,0,0,0,1,1
"Cheese, gjetost",466,30,600,0,400,0.52,1409,9.65,42.65,0,13.44,0,0,0,0,1,1
"Cheese, fontina",389,31,800,23,550,0.23,64,25.6,1.55,0,37.92,1.55,0,0,0,1,1
"Butter, salted",717,81,643,0,24,0.02,24,0.85,0.06,0,15.87,0.06,0,0,0,1,1
"Oil, rice bran",884,100,0,0,0,0.07,0,0,0,0,0,0,0,0,1,1,1
"Crackers, milk",446,14,687,0,172,3.58,114,7.6,71.73,3.4,4.7,10.32,0,0,0,1,1
"Bread, oatmeal",269,4.4,447,0,66,2.7,142,8.4,48.5,4,36.7,8.14,0,1,0,1,1
"Tamarinds, raw",239,0.6,28,0,74,2.8,628,2.8,62.5,5.1,31.4,38.8,0,0,1,1,1
"Millet, puffed",354,3.4,5,0,8,2.81,40,13,80,2.7,2.5,0.55,0,0,0,1,1
"Scrapple, pork",213,14,482,13,7,1.89,158,8.06,14.06,0.3,62.47,0.2,1,0,1,1,0
"Oil, poppyseed",884,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Oil, grapeseed",884,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Pretzels, soft",338,3.1,545,0,23,3.92,88,8.2,69.39,1.7,15,0.25,0,0,0,1,1
"Quinoa, cooked",120,1.9,7,0,17,1.49,172,4.4,21.3,2.8,71.61,0.87,0,1,1,0,1
"Plantains, raw",122,0.4,4,0,3,0.6,499,1.3,31.89,2.3,65.28,15,0,1,1,0,1
"Parsley, fresh",36,0.8,56,0,138,6.2,554,2.97,6.33,3.3,87.71,0.85,0,1,0,0,1
"Barley, hulled",354,2.3,12,0,33,3.6,452,12.48,73.48,17.3,9.44,0.8,0,0,0,1,1
"Cheese, romano",387,27,1433,20,1064,0.77,86,31.8,3.63,0,30.91,0.73,0,0,0,1,1
Dulce de Leche,315,7.4,129,6,251,0.17,350,6.84,55.35,0,28.71,49.74,0,0,0,1,1
"Radicchio, raw",23,0.3,22,0,19,0.57,302,1.43,4.48,0.9,93.14,0.6,0,1,0,0,1
"Tempeh, cooked",195,11,14,0,96,2.13,401,19.91,7.62,0,59.56,0,0,0,1,1,1
Chicken spread,158,18,722,0,16,0.87,106,18.01,4.05,0.3,57.41,0.47,1,0,1,1,0
"Millet, cooked",119,1,2,0,3,0.63,62,3.51,23.67,1.3,71.41,0.13,0,1,1,0,1
"Capers, canned",23,0.9,2348,0,40,1.67,40,2.36,4.89,3.2,83.85,0.41,0,1,0,0,1
"Sapodilla, raw",83,1.1,12,0,21,0.8,193,0.44,19.96,5.3,78,0,0,1,0,0,1
"Wild rice, raw",357,1.1,7,0,21,1.96,427,14.73,74.9,6.2,7.76,2.5,0,0,1,1,1
"Frog legs, raw",73,0.3,58,8,18,1.5,285,16.4,0,0,81.9,0,0,1,0,0,1
"Jackfruit, raw",95,0.6,2,0,24,0.23,448,1.72,23.25,1.5,73.46,19.08,0,1,0,0,1
"Litchis, dried",277,1.2,3,0,33,1.7,1110,3.8,70.7,4.6,22.3,66.1,0,0,0,1,1
"Strudel, apple",274,11,135,0,15,0.42,149,3.3,41.1,2.2,43.5,25.75,0,0,0,1,1
"Oil, cupu assu",884,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Cherimoya, raw",75,0.7,7,0,10,0.27,287,1.57,17.71,3,79.39,12.87,0,1,0,0,1
"Cheese, tilsit",340,26,753,0,700,0.23,65,24.41,1.88,0,42.86,0,0,0,0,1,1
"Cheese, brick",371,30,560,22,674,0.43,136,23.24,2.79,0,41.11,0.51,0,0,0,1,1
"Bologna, beef",299,26,1013,28,21,1.29,351,10.91,4.29,0,55.31,2.05,1,0,0,1,0
Blood sausage,379,35,680,52,6,6.4,38,14.6,1.29,0,47.3,1.29,1,1,0,1,0
"Nuts, almonds",579,50,1,0,269,3.71,733,21.15,21.55,12.5,4.41,4.35,0,1,0,1,1
"Couscous, dry",376,0.6,10,0,24,1.08,166,12.76,77.43,5,8.56,0,0,0,0,1,1
Meat extender,311,3,10,0,204,11.99,1902,41.71,34.71,17.5,7.48,0,1,0,0,1,0
Sorghum grain,329,3.5,2,0,13,3.36,363,10.62,72.09,6.7,12.4,2.53,0,0,0,1,1
"Oil, hazelnut",884,100,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"Rolls, french",277,4.3,574,0,91,2.71,114,8.6,50.2,3.2,34.8,0.31,0,0,0,1,1
"KFC, Coleslaw",144,8.6,189,0,28,0.21,140,0.91,15.65,2,73.99,13.54,0,1,1,0,1
"Parsnips, raw",75,0.3,10,0,36,0.59,375,1.2,17.99,4.9,79.53,4.8,0,1,0,0,1
"Collards, raw",32,0.6,17,0,232,0.47,213,3.02,5.42,4,89.62,0.46,0,1,0,0,1
"Cheese, colby",394,32,604,24,685,0.76,127,23.76,2.57,0,38.2,0.52,0,0,0,1,1
"Cheese, cream",350,34,314,0,97,0.11,132,6.15,5.52,0,52.62,3.76,0,0,0,1,1
"Bologna, pork",247,20,907,56,11,0.77,281,15.3,0.73,0,60.6,0,1,0,1,1,0
"Celeriac, raw",42,0.3,100,0,43,0.7,300,1.5,9.2,1.8,88,1.6,0,1,0,0,1
"Kumquats, raw",71,0.9,10,0,62,0.86,186,1.88,15.9,6.5,80.85,9.36,0,1,0,0,1
"Oat bran, raw",246,7,4,0,58,5.41,566,17.3,66.22,15.4,6.55,1.45,0,0,1,1,1
"Bread, cheese",408,21,750,2,90,2.49,84,10.42,44.83,2.1,21.13,2.08,0,0,0,1,1
"Cheese, swiss",393,31,187,0,890,0.13,72,26.96,1.44,0,37.63,0,0,0,0,1,1
"Cheese, gouda",356,27,819,20,700,0.24,121,24.94,2.22,0,41.46,2.22,0,0,0,1,1
Tomato powder,302,0.4,134,0,166,4.56,1927,12.91,74.68,16.5,3.06,43.9,0,0,0,1,1
"Cheese, blue",353,29,1146,21,528,0.31,256,21.4,2.34,0,42.41,0.5,0,0,0,1,1
"Cheese, brie",334,28,629,20,184,0.5,152,20.75,0.45,0,48.42,0.45,0,0,0,1,1
"Thyme, fresh",101,1.7,9,0,405,17.45,609,5.56,24.45,14,65.11,0,0,1,1,0,1
"Rhubarb, raw",21,0.2,4,0,86,0.22,288,0.9,4.54,1.8,93.61,1.1,0,1,0,0,1
"Oil, teaseed",884,100,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"Oil, sheanut",884,100,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"Oil, babassu",884,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Pumpkin, raw",26,0.1,1,0,21,0.8,340,1,6.5,0.5,91.6,2.76,0,1,0,0,1
"Fish, surimi",99,0.9,143,0,9,0.26,112,15.18,6.85,0,76.34,0,1,1,0,0,0
"Bread, wheat",267,3.2,508,0,133,3.49,177,10.72,48.68,4,35.2,5.91,0,0,0,1,1
"Cheese, edam",357,28,812,20,731,0.44,188,24.99,1.43,0,41.56,1.43,0,0,0,1,1
"Cheese, feta",264,21,917,16,493,0.65,62,14.21,4.09,0,55.22,4.09,0,0,0,1,1
Cracker meal,383,1.7,16,0,23,4.64,115,9.3,80.9,2.6,7.6,0.33,0,0,0,1,1
"Soursop, raw",66,0.3,14,0,14,0.6,278,1,16.84,3.3,81.16,13.54,0,1,0,0,1
"Oil, coconut",892,99,0,0,1,0.05,0,0,0,0,0.03,0,0,1,0,1,1
"Wheat, durum",339,2.5,2,0,34,3.52,431,13.68,71.13,0,10.94,0,0,0,0,1,1
"KFC, biscuit",358,17,1070,0,55,2.86,115,7.5,43.55,2,28.4,4.04,0,0,0,1,1
Millet flour,382,4.3,4,0,14,3.94,224,10.75,75.12,3.5,8.67,1.66,0,0,0,1,1
"Arugula, raw",25,0.7,27,0,160,1.46,369,2.58,3.65,1.6,91.71,2.05,0,1,0,0,1
Potato flour,357,0.3,55,0,65,1.38,1001,6.9,83.1,5.9,6.52,3.52,0,0,0,1,1
"Litchis, raw",66,0.4,1,0,5,0.31,171,0.83,16.53,1.3,81.76,15.23,0,1,0,0,1
"Spinach, raw",23,0.4,79,0,99,2.71,558,2.86,3.63,2.2,91.4,0.42,0,1,0,0,1
"Oil, mustard",884,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Oil, avocado",884,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Phyllo dough,299,6,483,0,11,3.21,74,7.1,52.6,1.9,32.6,0.18,0,0,0,1,1
"Lentils, raw",352,1.1,6,0,35,6.51,677,24.63,63.35,10.7,8.26,2.03,0,0,0,1,1
"Fat, chicken",900,100,0,191,0,0,0,0,0,0,0.2,0,1,0,1,1,0
"Cassava, raw",160,0.3,14,0,16,0.27,271,1.36,38.06,1.8,59.68,1.7,0,0,1,1,1
"Bananas, raw",89,0.3,1,0,5,0.26,358,1.09,22.84,2.6,74.91,12.23,0,1,0,0,1
"Papayas, raw",43,0.3,8,0,20,0.25,182,0.47,10.82,1.7,88.06,7.82,0,1,0,0,1
"Chives, raw",30,0.7,3,0,92,1.6,296,3.27,4.35,2.5,90.65,1.85,0,1,0,0,1
Carob flour,222,0.7,35,0,348,2.94,827,4.62,88.88,39.8,3.58,49.08,0,0,1,1,1
"Fat, turkey",900,100,0,191,0,0,0,0,0,0,0.2,0,1,0,0,1,0
"Tofu, fried",270,20,16,0,372,4.87,146,18.82,8.86,3.9,50.52,2.72,0,0,0,1,1
"Borage, raw",21,0.7,80,0,93,3.3,470,1.8,3.06,0,93,0,0,1,0,0,1
"Mangos, raw",60,0.4,1,0,11,0.16,168,0.82,14.98,1.6,83.46,13.66,0,1,0,0,1
"Garlic, raw",149,0.5,17,0,181,1.7,401,6.36,33.06,2.1,58.58,1,0,1,1,0,1
Tofu yogurt,94,1.8,35,0,118,1.06,47,3.5,15.96,0.2,77.5,1.24,0,1,0,0,1
"Bagels, egg",278,2.1,505,0,13,3.98,68,10.6,53,2.3,32.7,0,1,1,0,1,0
"Bulgur, dry",342,1.3,17,0,35,2.46,410,12.29,75.87,12.5,9,0.41,0,0,0,1,1
"Feijoa, raw",61,0.4,3,0,17,0.14,172,0.71,15.21,6.4,83.28,8.2,0,1,0,0,1
"Millet, raw",378,4.2,5,0,8,3.01,195,11.02,72.85,8.5,8.67,0,0,0,0,1,1
"Ham, minced",263,21,1245,26,10,0.79,311,16.28,1.84,0,57.35,0,1,0,0,1,0
"Oil, almond",884,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Oil, walnut",884,100,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"Oil, canola",884,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Clif Z bar,409,9.7,375,0,444,2.7,333,5.55,74.72,8.3,7.74,30.56,0,0,0,1,1
Fish broth,16,0.6,318,0,30,0.21,86,2,0.4,0,96,0.09,1,1,0,0,0
"Fat, goose",900,100,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1,1
"Bread, rye",259,3.3,603,0,73,2.83,166,8.5,48.3,5.8,37.3,3.85,0,0,0,1,1
"Pie, peach",224,10,217,0,8,0.5,125,1.9,32.9,0.8,54.4,16.23,0,0,1,1,1
"Rowal, raw",111,2,4,0,15,2.2,131,2.3,23.9,6.2,71.4,14.1,0,1,1,0,1
"Bread, egg",287,6,380,16,93,3.04,115,9.5,47.8,2.3,34.7,1.78,1,0,0,1,0
Buckwheat,343,3.4,1,0,18,2.2,460,13.25,71.5,10,9.75,0,0,0,0,1,1
"Oil, palm",884,100,0,0,0,0.01,0,0,0,0,0,0,0,0,0,1,1
"Fat, duck",882,100,0,191,0,0,0,0,0,0,0.2,0,1,0,0,1,0
Triticale,336,2.1,5,0,37,2.57,332,13.05,72.13,0,10.51,0,0,0,0,1,1
Rye grain,338,1.6,2,0,24,2.63,510,10.34,75.86,15.1,10.6,0.98,0,0,0,1,1
"Kale, raw",49,0.9,38,0,150,1.47,491,4.28,8.75,3.6,84.04,2.26,0,1,0,0,1
"Figs, raw",74,0.3,1,0,35,0.37,232,0.75,19.18,2.9,79.11,16.26,0,1,0,0,1
"Goat, raw",109,2.3,82,0,13,2.83,385,20.6,0,0,75.84,0,0,1,1,0,1
Zwieback,426,9.7,227,0,20,0.6,305,10.1,74.2,2.5,4.5,12.5,0,0,0,1,1
"Oil, oat",884,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Eggnog,88,4.2,54,49,130,0.2,165,4.55,8.05,0,82.54,8.05,1,1,0,0,0
Tempeh,192,11,9,0,111,2.7,412,20.29,7.64,0,59.65,0,0,0,1,1,1
Wasabi,292,11,3390,0,41,0.5,182,2.23,46.13,6.1,31.7,13.2,0,0,0,1,1
Natto,211,11,7,0,217,8.6,729,19.4,12.68,5.4,55.02,4.89,0,0,1,1,1
Okara,76,1.7,9,0,80,1.3,213,3.52,12.23,0,81.64,0,0,1,0,0,1
Papad,371,3.3,1745,0,143,7.8,1000,25.56,59.87,18.6,3.49,0,0,0,0,1,1
Lard,902,100,0,102,0,0,0,0,0,0,0,0,0,0,0,1,1
Oats,389,6.9,2,0,54,4.72,429,16.89,66.27,10.6,8.22,0,0,0,0,1,1
Miso,198,6,3728,0,57,2.49,210,12.79,25.37,5.4,43.02,6.2,0,0,1,1,1
"Spices, dried, oregano",265,4.3,25,0,1597,36.8,1260,9,68.92,42.5,9.93,4.09,0,0,0,1,1
"Winged bean leaves, raw",74,1.1,9,0,224,4,176,5.85,14.1,0,76.85,0,0,1,0,0,1
"Corn, raw, white, sweet",86,1.2,15,0,2,0.52,270,3.22,19.02,2.7,75.96,3.22,0,1,0,0,1
"Wheat flour, whole-grain",340,2.5,2,0,34,3.6,363,13.21,71.97,10.7,10.74,0.41,0,0,0,1,1
"CRACKER BARREL, coleslaw",175,13,110,0,34,0.29,162,0.89,13.01,1.6,72.18,11.07,0,0,1,1,1
"Fish, raw, king, mackerel",105,2,158,0,31,1.78,435,20.28,0,0,75.85,0,1,1,1,0,0
"Cookies, chocolate wafers",433,14,580,0,31,4.01,210,6.6,72.7,3.4,4.5,37.43,0,0,0,1,1
"Mushrooms, raw, portabella",22,0.4,9,10,3,0.31,364,2.11,3.87,1.3,92.82,2.5,0,1,0,0,1
"Fish, raw, striped, mullet",117,3.8,65,61,41,1.02,357,19.35,0,0,77.01,0,1,1,1,0,0
"Egg, poached, cooked, whole",143,9.5,297,82,56,1.75,138,12.51,0.71,0,75.85,0.37,1,1,1,0,0
"Noodles, chow mein, chinese",475,15,1174,0,20,4.73,120,8.11,72.8,3.7,1.18,5.71,0,0,0,1,1
"Oil, cold pressed, flaxseed",884,100,0,0,1,0,0,0.11,0,0,0.12,0,0,0,0,1,1
"Triticale flour, whole-grain",338,1.8,2,0,35,2.59,466,13.18,73.14,14.6,10.01,0,0,0,0,1,1
"Cheese, queso anejo, mexican",373,30,1131,22,680,0.47,87,21.44,4.63,0,38.06,4.63,0,0,0,1,1
"Smelt, dried (Alaska Native)",386,18,420,0,1600,5.4,1000,56.19,0,0,16.92,0,0,0,0,1,1
